title,culture/people,media/materials,object type,place,collection history,image
Canoe box,Kwakwaka'wakw (Kwakiutl)  ,Carved,Watercraft and accessories,Fort Rupert; Mount Waddington Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1937.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4069/896/032.700x700.jpg
Fish club,Tlingit  ,"Carved, painted",Hunting/Fishing/Warfare,Sealaska Native Corporation; Alaska; USA (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1908 from the J. C. Stevens Auction Rooms (London, England); purchased by Marshall H. Saville (1867-1935, MAI staff member) from W.O. Oldman in 1909.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10048/183/039.700x700.jpg
Bowl/Dish,Haida  ,Carved,Containers and Vessels,Queen Charlotte Islands (Haida Gwaii); Skeena-Queen Charlotte Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London from W.H. Fenton (possibly of Fenton & Sons, Dealers in Antiques and Articles of Vertu, in London) in 1907; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10105/241/01.700x700.jpg
Paintbrush,Haida  ,Carved,Art and Printing tools,Queen Charlotte Islands (Haida Gwaii); Skeena-Queen Charlotte Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909 from the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1909.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4052/183/036.700x700.jpg
Bowl/Dish,Tlingit  ,Painted,Containers and Vessels,British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1915; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10047/184/052.700x700.jpg
Canoe paddle,Heiltsuk (Bella Bella)  ,Painted,Watercraft and accessories,Central Coast Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1910; purchased by George Heye from W.O. Oldman in 1910.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4070/331/029.700x700.jpg
Hair comb,Haida  ,Carved,Personal items,British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1913; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4051/602/053.700x700.jpg
Rattle in the form of a bird,probably Nuu-chah-nulth (Nootka) (attributed)  ,"Carved, painted",Music and Sound,British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909 from the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1909.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4047/305/017.700x700.jpg
Bow,Makah  ,Carved,Hunting/Fishing/Warfare,"Neah Bay, Makah Reservation; Clallam County; Washington; USA","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909; purchased by George Heye from W.O. Oldman in 1910.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4048/178/008.700x700.jpg
Maul/Hammer head,Haida  ,"Carved, grooved",Tools and Equipment (General),Skidegate; Skeena-Queen Charlotte Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1923.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4052/002/166.700x700.jpg
Carving knife/tool,Haida  ,Carved,Tools and Equipment (General),Queen Charlotte Islands (Haida Gwaii); Skeena-Queen Charlotte Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909 from the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1909.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4052/167/020.700x700.jpg
Canoe paddle,Haida  ,Painted,Watercraft and accessories,Queen Charlotte Islands (Haida Gwaii); Skeena-Queen Charlotte Regional District; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909 from British artifact dealer James Edward Little (1876-1953); purchased by George Heye from W.O. Oldman in 1909.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4050/519/004.700x700.jpg
Spinning tension-ring,Cowichan  ,Carved,Weaving tools/equipment,Duncan; Cowichan Valley Regional District; British Columbia; Canada,"Collected or purchased from local residents in 1938 by George Heye and William A. Newcombe (1884-1960, a Vancouver, British Columbia, collector).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10030/760/067.700x700.none.jpg
Child's basket hat,Nuu-chah-nulth (Nootka)  ,"Twined, painted",Clothing/Garments: Headwear and Headdresses,Vancouver Island; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1937.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10026/874/012.700x700.none.jpg
Spoon,Tlingit  ,Painted,Food/Beverage Serving,Sealaska Native Corporation; Alaska; USA (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1907 possibly from antiquities dealer F. Russell; purchased by George Heye from W.O. Oldman in 1911.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10047/893/040.700x700.jpg
Pipe,Haida  ,Carved,Pipes and Smoking,British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by MAI from W.O. Oldman in 1916 using funds donated by Thea (Mrs. George) Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4103/627/053.700x700.jpg
Knife,Nuu-chah-nulth (Nootka)  ,"Carved, riveted",Tools and Equipment (General),Vancouver Island; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1910; purchased by George Heye from W.O. Oldman in 1911.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4047/360/072.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Love medicine bundle (Image withheld),"Potawatomi [Prairie Band, Kansas]  ",Twined,Ceremonial/Ritual items: Bundles,Kansas; USA,"Collected from Ci'-ki'-ne'b-ko-kwe' (Prairie Band Potawatomi) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/226/668/00028604.700x700.jpg
Hide (Image withheld),Oklahoma Shawnee  ,Wrapped,Ceremonial/Ritual items,Oklahoma; USA,"Collected from William Johnson (Oklahoma Shawnee) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/227/134/00028327.700x700.jpg
Brooch,probably Mohegan (attributed)  ,"Hammered, cutout, stamped",Adornment/Jewelry,New London County; Connecticut; USA (inferred),"Formerly owned by Lester Skeesucks (Mohegan/Narragansett, 1826-1903); collected from him by anthropologist Frank G. Speck (1881-1950) in 1901; purchased by George Heye from Frank Speck in 1906.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10056/414/014.700x700.jpg
Mortar,Potawatomi [Oklahoma]  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Mrs. Whipple (Oklahoma Potawatomi) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4130/254/011.700x700.jpg
Sash/Belt,"Absentee Shawnee [Shawnee, Oklahoma-Pottawatomie County]  ","Sewn, overlay beadwork, braided",Clothing/Garments: Accessories,Oklahoma; USA,"Collected from Nancy Wilson (Absentee Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/559/DSC00001.700x700.jpg
Rattle (Image withheld),"Cayuga [Six Nations/Grand River (Brantford, Ontario)]  ",Carved,Music and Sound,"Six Nations Grand River Reserve; Brant County, Haldimand County; Ontario; Canada","Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10043/776/250444.700x700.none.jpg
Bowl/Dish,Seneca [Cattaraugus]  ,"Stitched, aboriginally repaired",Containers and Vessels,"Cattaraugus Reservation; Erie County, Cattaraugus County, Chautauqua County; New York; USA","Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4118/222/109.700x700.jpg
Saddle frame,"Potawatomi [Prairie Band, Kansas]  ","Bent, stitched",Animal Tack and Animal Husbandry,Kansas; USA,"Collected from Ci'-pa-do-wa' (Prairie Band Potawatomi) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4133/335/032.700x700.jpg
Mortar,Oklahoma Shawnee  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Jenny Sloan (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10091/667/DSC00003.700x700.jpg
Pestle,Oklahoma Shawnee  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Jenny Sloan (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10091/649/DSC00003.700x700.jpg
Club,Oneida  ,Carved,Hunting/Fishing/Warfare: Warfare,Ontario; Canada,"Collection history unknown; purchased from an unknown source in Southwold, Ontario in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4120/801/010.700x700.jpg
Male doll,Seneca [Cattaraugus]  ,"Wrapped, edge beaded","Games, Toys, Gambling: Dolls",New York; USA,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4065/636/010.700x700.jpg
Man's leggings,Oklahoma Shawnee  ,"Fringed, tied",Clothing/Garments,Oklahoma; USA (inferred),"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/652/DSC00015.700x700.jpg
Moccasins,Oklahoma Shawnee  ,"Ribbonwork appliqué, overlay beadwork",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Sam Warrior (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/365/DSC00015.700x700.jpg
Sash/Belt,"Potawatomi [Prairie Band, Kansas]  ","Loom beadwork, braided",Clothing/Garments: Accessories,Kansas; USA,"Collected from Wa-ni's (Prairie Band Potawatomi) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4133/339/036.700x700.jpg
Sash/Belt,"Absentee Shawnee [Shawnee, Oklahoma-Pottawatomie County]  ","Sewn, overlay beadwork",Clothing/Garments: Accessories,Oklahoma; USA,"Collected from Nancy Wilson (Absentee Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/470/DSC00018.700x700.jpg
Pipe and pipebag (No image available),Seneca  ,"Fringed, modeled",Pipes and Smoking,"Cattaraugus Reservation; Erie County, Cattaraugus County, Chautauqua County; New York; USA","Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10043/785/250453.700x700.none.jpg
Moccasins,Oklahoma Delaware  ,"Sewn, overlay beadwork, edge beaded",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Jennie Bobb (Oklahoma Delaware) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/761/015.700x700.jpg
Powder horn and powder measure,Penobscot  ,"Cut, carved, tied",Firearms and accessories,Old Town; Penobscot County; Maine; USA,"Collected by William C. Orchard (1860-1948, MAI staff member), probably in 1909 during fieldwork for the American Museum of Natural History; given or transferred to Major Kenneth C. Miller (1901-1974), who had a long association with MAI, and his wife Dorothea Miller; donated to MAI by Kenneth C. Miller and Dorothea Miller in 1973.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4112/663/024.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
title,culture/people,media/materials,object type,place,collection history,image
Male figure,probably Post-Classic period Maya (archaeological culture) (attributed)  ,"Carved, drilled",Sculpture/Carving/Figures,"Santa Cruz del Quiché Municipality or Mazatenango Municipality; Quiché Department or Suchitepéquez Department, Southwest Region; Guatemala","Collection history unknown; formerly in the collection of Maximo (Max) Obst (ca. 1872-1927, a collector of jade objects who lived in Guatemala); purchased by MAI from Max Obst in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4057/989/078.700x700.jpg
Bead/beads,possibly Maya (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,"Isla Roatán; Roatán Municipality, José Santos Guardiola Municipality; Islas de la Bahía Department; Honduras","Collected or excavated by explorer and adventurer Frederick A. Mitchell-Hedges (1882-1959), probably in the early 1930s; donated to MAI by F.A. Mitchell-Hedges in 1935.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10077/563/18.700x700.jpg
Bead/beads,probably Post-Classic period Maya (archaeological culture) (attributed)  ,"Ground, perforated, drilled",Adornment/Jewelry,Lamanai (Indian Church); Orange Walk District; Belize,"Probably collected or excavated by amateur archaeologist Dr. Thomas W. F. Gann (1867-1938, a physician stationed in Central America); purchased by MAI from Thomas Gann in 1919 using funds donated by MAI trustee James B. Ford (1844-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4050/090/09.700x700.jpg
Bead/beads,possibly Maya (archaeological culture) (attributed)  ,"Carved, drilled, incised",Adornment/Jewelry,Isla de Guanaja (Bonacca); Guanaja Municipality; Islas de la Bahía Department; Honduras,"Collected or excavated by explorer and adventurer Frederick A. Mitchell-Hedges (1882-1959), probably in the late 1920s; donated to MAI by F.A. Mitchell-Hedges in 1931.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4015/804/056.700x700.jpg
Maskette,probably Mexica (Aztec) (archaeological culture) (attributed)  ,"Carved, drilled",Masks and Masking,Valley of Mexico; Mexico,Collection history unknown; purchased by MAI from an unknown source in 1926.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4154/199/04.700x700.jpg
Maskette,probably Olmec (archaeological culture) (attributed)  ,"Carved, drilled",Masks and Masking,"Salamá; Salamá Municipality; Baja Verapaz Department, North Region; Guatemala","Collected or purchased from local residents during MAI's Marshall Saville Guatemala Expedition (1917-1920), which was led by MAI staff member Marshall H. Saville (1867-1935) and sponsored by MAI trustee James B. Ford (1844-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4058/041/036.700x700.jpg
Pendant in the form of a turtle shell,possibly West Mexican Tradition (archaeological culture) (attributed)  ,"Carved, incised, drilled",Adornment/Jewelry,Guerrero State; Mexico,Collection history unknown; purchased by MAI from an unknown source in 1938.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4060/679/144.700x700.jpg
Pendant,probably Guanacaste-Nicoya (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Costa Rica (inferred),Collection history unknown; acquired by art collector William W. Brill (1918-2003) during trips to Costa Rica before 1974; donated to MAI by William Brill in 1979.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10076/416/16.700x700.jpg
Bead/beads,possibly Zapotec (archaeological culture) (attributed)  ,"Carved, drilled, polished",Adornment/Jewelry,Oaxaca State; Mexico,"Collection history unknown; purchased by MAI from Harvey L. Hill (Harvey Alonzo Hill, 1861-1956, an antique dealer in San Francisco, California) in 1941.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4089/063/018.700x700.jpg
Codex Tetlapalco/Codex Saville,probably Mexica (Aztec) (archaeological culture) (attributed)  ,Amate (Fig tree) paper,Indigenous Knowledge and Records,"Texcoco; Texcoco Municipality, Texcoco Region; México State; Mexico (inferred)","Collection history unknown; purchased by Marshall H. Saville (1867-1935, MAI staff member) from an unknown source, probably in Mexico, in 1925 using funds donated by Thea (Mrs. George) Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10432/216/136913_000_b32_20190220_cn.700x700.jpg
Paper,Mixtec  ,Pounded,Materials: Prepared,San Pablito; Pahuatlán Municipality; Puebla State; Mexico,"Collection history unknown; acquired by artist and art dealer Frances Pratt (Mrs. Bumpei Usui/Mrs. Frances Ritter, 1913-2003) during travel in Mexico in the early 1950s; purchased by MAI from Frances Pratt in 1953.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10029/825/023.700x700.jpg
Paper,Mixtec  ,Pounded,Materials: Prepared,San Pablito; Pahuatlán Municipality; Puebla State; Mexico,"Collection history unknown; acquired by artist and art dealer Frances Pratt (Mrs. Bumpei Usui/Mrs. Frances Ritter, 1913-2003) during travel in Mexico in the early 1950s; purchased by MAI from Frances Pratt in 1953.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10029/823/021.700x700.jpg
Maskette,probably Teotihuacán (archaeological culture) (attributed)  ,"Carved, drilled",Masks and Masking,Tlatelolco; Federal District; Mexico,"Collection history unknown; formerly in the collection of José Mariano Sánchez y Mora (1777-1845, 3rd Condé [Count] de Peñasco), a Mexican soldier, politician, and noted collector of antiquities; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1909; purchased by George Heye from W.O. Oldman, in 1910.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10138/807/026607_000_001_20090313_ps.700x700.jpg
Human figure,probably Matlatzinca (archaeological) (attributed)  ,Carved,Sculpture/Carving/Figures,"Cave; Tejupilco de Hidalgo; Tejupilco Municipality, Tejupilco Region; México State; Mexico","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4015/189/046.700x700.jpg
Vessel (unfinished),Mixtec  ,"Carved, drilled, ground",Containers and Vessels,Oaxaca State; Mexico,"Collection history unknown, but said to have been found before 1840; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1909; purchased by George Heye from W.O. Oldman in 1910.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/715/DSC00014.700x700.jpg
Vessel,possibly K'iche' Maya (Quiché) (attributed)  ,"Incised, painted",Made-for-Sale items and Souvenirs,"Rabinal; Rabinal Municipality; Baja Verapaz Department, North Region; Guatemala","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1921.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10103/244/DSC00008.700x700.jpg
Vessel,possibly K'iche' Maya (Quiché) (attributed)  ,"Incised, painted",Made-for-Sale items and Souvenirs,"Rabinal; Rabinal Municipality; Baja Verapaz Department, North Region; Guatemala","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1921.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10103/467/DSC00018.700x700.jpg
Mask (No image available),probably Guerrero Nahua (attributed)  ,"Painted, carved",Masks and Masking,Guerrero State; Mexico,Collection history unknown; formerly in the collection of Richard H. White; donated to MAI by Richard White in 1982.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10036/084/245946.700x700.none.jpg
Bell,probably West Mexican Tradition (archaeological culture) (attributed); probably used by Casas Grandes peoples  ,Cast,Music and Sound,Paquimé region; Paquimé (Casas Grandes); Casas Grandes Municipality; Chihuahua State; Mexico,"Collection history unknown; formerly in the collection of Edward Ledwidge (1870-1934, an El Paso, Texas, tax collector and prominent collector of Casas Grandes pottery); purchased by MAI from Edward Ledwidge in 1917 using funds donated by MAI trustee Harmon W. Hendricks (1846-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10230/580/061214_000_001_20130702_ps.700x700.jpg
Child's sandals,probably Northern Mesoamerica (attributed)  ,Tied,Clothing/Garments: Footwear,"Las Remojadas; Soledad de Doblado Municipality, Sotavento Region; Veracruz State; Mexico","Collected in 1958 by Dr. Frederick J. Dockstader (1912-1998, MAI curator and later director); donated to MAI by Frederick Dockstader in 1958.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4061/910/005.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Mask outfit,probably Cubeo (Kobeua) (attributed)  ,"Sewn, dyed, painted",Ceremonial/Ritual items,"Rio Uaupés (Caiari, Vaupés); São Gabriel da Cachoeira Municipality; North Mesoregion, Rio Negro Micoregion; Amazonas State, North Region; Brazil","Collection history unknown; formerly in the collection of Alan C. Lapiner (1933-1975, owner of Arts of the Four Quarters, a gallery in New York City); donated to MAI by Alan Lapiner in 1966.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10192/834/237047_000_001_20120529_ps.700x700.jpg
Man's shirt,possibly Kichua (Quichua) (attributed)  ,"Sewn, embroidered",Clothing/Garments,Río Putumayo (Içá) headwaters; Putumayo Department; Colombia,"Collection history unknown; formerly in the collection of Major William Sully Beebe (1841-1898, a collector and student of ancient languages and symbols); presented by Benjamin D. Hicks (1836-1906, of Waterbury, Long Island) to the Long Island Historical Society in 1884; lent by the Long Island Historical Society to MAI in 1920; donated to NMAI by the Brooklyn Historical Society in 2020.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/518/028.700x700.none.jpg
Woman's blouse,possibly Kichua (Quichua) (attributed)  ,"Sewn, embroidered",Clothing/Garments,Río Putumayo (Içá) headwaters; Putumayo Department; Colombia,"Collection history unknown; formerly in the collection of Major William Sully Beebe (1841-1898, a collector and student of ancient languages and symbols); presented by Benjamin D. Hicks (1836-1906, of Waterbury, Long Island) to the Long Island Historical Society in 1884; lent by the Long Island Historical Society to MAI in 1920; donated to NMAI by the Brooklyn Historical Society in 2020.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/508/018.700x700.none.jpg
Man's pants,possibly Kichua (Quichua) (attributed)  ,"Wrapped, embroidered",Clothing/Garments,Río Putumayo (Içá) headwaters; Putumayo Department; Colombia,"Collection history unknown; formerly in the collection of Major William Sully Beebe (1841-1898, a collector and student of ancient languages and symbols); presented by Benjamin D. Hicks (1836-1906, of Waterbury, Long Island) to the Long Island Historical Society in 1884; lent by the Long Island Historical Society to MAI in 1920; donated to NMAI by the Brooklyn Historical Society in 2020.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/510/020.700x700.none.jpg
Sash/Belt,possibly Kichua (Quichua) (attributed)  ,Woven,Clothing/Garments: Accessories,Río Putumayo (Içá) headwaters; Putumayo Department; Colombia,"Collection history unknown; formerly in the collection of Major William Sully Beebe (1841-1898, a collector and student of ancient languages and symbols); presented by Benjamin D. Hicks (1836-1906, of Waterbury, Long Island) to the Long Island Historical Society in 1884; lent by the Long Island Historical Society to MAI in 1920; donated to NMAI by the Brooklyn Historical Society in 2020.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/561/030.700x700.none.jpg
